timestamp,highway1_len,drain_delay_h1,can_take1,can_take2
2026-04-21 22:22:00.247,0,2.8,1,1
2026-04-21 22:22:01.252,0,2.8,1,1
2026-04-21 22:22:02.257,0,2.8,1,1
2026-04-21 22:22:03.260,0,2.8,1,1
2026-04-21 22:22:04.265,1,2.8,1,1
2026-04-21 22:22:05.270,1,2.8,0,1
2026-04-21 22:22:06.273,0,2.8,0,1
2026-04-21 22:22:07.278,0,2.8,0,1
2026-04-21 22:22:08.283,0,2.8,0,0
2026-04-21 22:22:09.285,1,2.8,1,1
2026-04-21 22:22:10.290,1,2.8,0,0
2026-04-21 22:22:11.292,1,2.8,1,0
2026-04-21 22:22:12.297,1,2.8,1,0
2026-04-21 22:22:13.300,2,2.8,1,0
2026-04-21 22:22:14.301,2,2.8,1,1
2026-04-21 22:22:15.305,2,2.8,1,0
2026-04-21 22:22:16.307,4,2.8,1,1
2026-04-21 22:22:17.312,3,2.8,1,0
2026-04-21 22:22:18.316,4,2.8,1,0
2026-04-21 22:22:19.319,4,2.8,1,0
2026-04-21 22:22:20.322,5,2.8,1,0
2026-04-21 22:22:21.328,6,2.8,1,1
2026-04-21 22:22:22.333,5,2.8,1,0
2026-04-21 22:22:23.338,6,2.8,1,1
2026-04-21 22:22:24.343,7,2.8,1,1
2026-04-21 22:22:25.346,8,2.8,1,1
2026-04-21 22:22:26.351,9,2.8,1,1
2026-04-21 22:22:27.357,9,2.8,0,1
2026-04-21 22:22:28.362,8,2.8,0,1
2026-04-21 22:22:29.366,8,2.8,0,0
2026-04-21 22:22:30.371,8,2.8,0,0
2026-04-21 22:22:31.372,7,2.8,0,0
2026-04-21 22:22:32.373,7,2.8,0,1
2026-04-21 22:22:33.375,7,2.8,0,0
2026-04-21 22:22:34.379,6,2.8,0,0
2026-04-21 22:22:35.383,6,2.8,0,0
2026-04-21 22:22:36.388,6,2.8,0,0
2026-04-21 22:22:37.393,5,2.8,0,1
2026-04-21 22:22:38.398,6,2.8,1,0
2026-04-21 22:22:39.400,6,2.8,1,1
2026-04-21 22:22:40.404,7,2.8,1,1
2026-04-21 22:22:41.405,8,2.8,1,1
2026-04-21 22:22:42.410,9,3.8,1,0
2026-04-21 22:22:43.415,9,3.8,0,0
2026-04-21 22:22:44.419,9,3.8,0,0
2026-04-21 22:22:45.420,9,3.8,0,0
2026-04-21 22:22:46.420,9,3.8,0,0
2026-04-21 22:22:47.421,8,3.8,0,0
2026-04-21 22:22:48.423,8,3.8,0,0
2026-04-21 22:22:49.428,8,3.8,0,0
2026-04-21 22:22:50.433,8,3.8,0,1
2026-04-21 22:22:51.433,7,3.8,0,0
2026-04-21 22:22:52.435,7,3.8,0,0
2026-04-21 22:22:53.436,7,3.8,0,1
2026-04-21 22:22:54.441,7,3.8,0,1
2026-04-21 22:22:55.447,6,3.8,0,1
2026-04-21 22:22:56.449,6,3.8,0,1
2026-04-21 22:22:57.450,6,3.8,0,1
2026-04-21 22:22:58.454,5,3.8,0,1
2026-04-21 22:22:59.459,5,3.8,0,1
2026-04-21 22:23:00.463,5,3.3,0,1
2026-04-21 22:23:01.468,3,0.7,0,1
2026-04-21 22:23:02.471,2,0.7,0,1
2026-04-21 22:23:03.472,1,0.7,0,1
2026-04-21 22:23:04.477,0,0.7,0,1
2026-04-21 22:23:05.482,0,0.7,0,1
2026-04-21 22:23:06.487,0,0.7,0,1
2026-04-21 22:23:07.490,0,0.7,0,1
2026-04-21 22:23:08.495,0,0.7,0,1
2026-04-21 22:23:09.500,0,0.7,0,1
2026-04-21 22:23:10.505,0,0.7,0,0
2026-04-21 22:23:11.508,0,0.7,0,0
2026-04-21 22:23:12.509,0,0.7,0,0
2026-04-21 22:23:13.513,0,0.7,1,0
2026-04-21 22:23:14.517,1,0.7,1,1
2026-04-21 22:23:15.522,0,0.7,1,1
2026-04-21 22:23:16.527,0,0.7,1,0
2026-04-21 22:23:17.529,0,0.7,1,1
2026-04-21 22:23:18.533,1,0.7,1,0
2026-04-21 22:23:19.539,1,0.7,1,0
2026-04-21 22:23:20.541,1,0.7,1,0
2026-04-21 22:23:21.545,0,0.7,1,0
2026-04-21 22:23:22.546,0,1.4,1,0
2026-04-21 22:23:23.551,2,2.1,1,0
2026-04-21 22:23:24.551,2,2.1,1,1
2026-04-21 22:23:25.551,2,2.1,1,0
2026-04-21 22:23:26.555,2,2.1,1,0
2026-04-21 22:23:27.560,3,2.1,1,1
2026-04-21 22:23:28.565,3,2.1,1,0
2026-04-21 22:23:29.570,4,2.1,1,1
2026-04-21 22:23:30.575,5,2.1,0,1
2026-04-21 22:23:31.579,4,2.1,0,1
2026-04-21 22:23:32.584,4,2.1,1,0
2026-04-21 22:23:33.586,5,2.1,1,0
2026-04-21 22:23:34.590,5,2.1,0,1
2026-04-21 22:23:35.594,4,2.1,0,1
2026-04-21 22:23:36.597,4,2.1,0,0
2026-04-21 22:23:37.600,4,2.1,1,1
2026-04-21 22:23:38.606,4,2.1,1,0
2026-04-21 22:23:39.611,4,2.1,1,0
2026-04-21 22:23:40.611,5,2.1,1,1
2026-04-21 22:23:41.613,5,2.1,1,0
2026-04-21 22:23:42.617,6,2.1,1,0
2026-04-21 22:23:43.622,6,2.1,1,1
2026-04-21 22:23:44.624,7,2.1,1,1
2026-04-21 22:23:45.629,7,2.1,1,1
2026-04-21 22:23:46.633,7,2.1,1,1
2026-04-21 22:23:47.639,7,2.1,0,1
2026-04-21 22:23:48.639,6,2.1,0,1
2026-04-21 22:23:49.644,6,2.1,0,1
2026-04-21 22:23:50.649,5,2.1,0,1
2026-04-21 22:23:51.651,5,2.1,0,1
2026-04-21 22:23:52.655,4,2.1,0,1
2026-04-21 22:23:53.656,4,2.1,0,1
2026-04-21 22:23:54.659,3,2.1,0,1
2026-04-21 22:23:55.664,3,2.1,0,1
2026-04-21 22:23:56.669,2,2.1,0,1
2026-04-21 22:23:57.673,2,2.1,0,1
2026-04-21 22:23:58.678,1,2.1,0,1
2026-04-21 22:23:59.682,1,2.1,0,1
2026-04-21 22:24:00.683,0,2.1,0,0
2026-04-21 22:24:01.688,1,2.1,1,0
2026-04-21 22:24:02.690,2,2.1,1,1
2026-04-21 22:24:03.692,4,2.1,1,1
2026-04-21 22:24:04.696,5,2.1,1,1
