timestamp,highway1_len,drain_delay_h1,can_take2
2026-04-21 21:17:15.212,0,2.0,1
2026-04-21 21:17:15.317,0,2.0,1
2026-04-21 21:17:15.418,0,2.0,1
2026-04-21 21:17:15.523,0,2.0,1
2026-04-21 21:17:15.629,0,2.0,1
2026-04-21 21:17:15.729,0,2.0,1
2026-04-21 21:17:15.834,0,2.0,1
2026-04-21 21:17:15.939,0,2.0,1
2026-04-21 21:17:16.040,0,2.0,1
2026-04-21 21:17:16.145,0,2.0,1
2026-04-21 21:17:16.245,0,2.0,1
2026-04-21 21:17:16.346,0,2.0,1
2026-04-21 21:17:16.451,0,2.0,1
2026-04-21 21:17:16.557,0,2.0,1
2026-04-21 21:17:16.658,0,2.0,1
2026-04-21 21:17:16.763,0,2.0,1
2026-04-21 21:17:16.866,0,2.0,1
2026-04-21 21:17:16.971,0,2.0,1
2026-04-21 21:17:17.074,0,2.0,1
2026-04-21 21:17:17.178,0,2.0,1
2026-04-21 21:17:17.279,0,2.0,1
2026-04-21 21:17:17.384,0,2.0,1
2026-04-21 21:17:17.486,0,2.0,1
2026-04-21 21:17:17.590,0,2.0,1
2026-04-21 21:17:17.692,0,7.7,1
2026-04-21 21:17:17.798,0,7.7,1
2026-04-21 21:17:17.903,0,7.7,1
2026-04-21 21:17:18.007,0,7.7,1
2026-04-21 21:17:18.111,0,7.7,1
2026-04-21 21:17:18.213,0,7.7,1
2026-04-21 21:17:18.317,0,7.7,1
2026-04-21 21:17:18.419,0,7.7,1
2026-04-21 21:17:18.521,0,7.7,1
2026-04-21 21:17:18.624,0,7.7,1
2026-04-21 21:17:18.728,0,7.7,1
2026-04-21 21:17:18.829,0,7.7,1
2026-04-21 21:17:18.934,0,7.7,1
2026-04-21 21:17:19.039,0,7.7,1
2026-04-21 21:17:19.141,0,7.7,1
2026-04-21 21:17:19.245,0,7.7,1
2026-04-21 21:17:19.349,0,7.7,1
2026-04-21 21:17:19.453,0,7.7,1
2026-04-21 21:17:19.556,0,7.7,1
2026-04-21 21:17:19.657,0,7.7,1
2026-04-21 21:17:19.761,0,7.7,1
2026-04-21 21:17:19.863,0,7.7,1
2026-04-21 21:17:19.968,0,7.7,1
2026-04-21 21:17:20.073,0,7.7,1
2026-04-21 21:17:20.178,0,7.7,1
2026-04-21 21:17:20.283,0,7.7,1
2026-04-21 21:17:20.386,0,7.7,1
2026-04-21 21:17:20.491,0,7.7,1
2026-04-21 21:17:20.596,0,7.7,1
2026-04-21 21:17:20.700,1,7.7,1
2026-04-21 21:17:20.805,1,7.7,1
2026-04-21 21:17:20.909,1,7.7,1
2026-04-21 21:17:21.012,1,7.7,1
2026-04-21 21:17:21.117,1,7.7,1
2026-04-21 21:17:21.222,1,7.7,1
2026-04-21 21:17:21.324,1,7.7,1
2026-04-21 21:17:21.429,1,7.7,1
2026-04-21 21:17:21.534,1,7.7,1
2026-04-21 21:17:21.636,1,7.7,1
2026-04-21 21:17:21.741,1,7.7,1
2026-04-21 21:17:21.844,1,7.7,1
2026-04-21 21:17:21.949,1,7.7,1
2026-04-21 21:17:22.053,1,7.7,1
2026-04-21 21:17:22.156,1,7.7,1
2026-04-21 21:17:22.259,1,7.7,1
2026-04-21 21:17:22.363,1,1.7,1
2026-04-21 21:17:22.468,1,1.7,1
2026-04-21 21:17:22.573,1,1.7,1
2026-04-21 21:17:22.676,1,1.7,1
2026-04-21 21:17:22.779,1,1.7,1
2026-04-21 21:17:22.883,1,1.7,1
2026-04-21 21:17:22.984,1,1.7,1
2026-04-21 21:17:23.084,1,1.7,1
2026-04-21 21:17:23.190,1,1.7,1
2026-04-21 21:17:23.295,1,1.7,1
2026-04-21 21:17:23.400,1,1.7,1
2026-04-21 21:17:23.500,1,1.7,1
2026-04-21 21:17:23.603,1,1.7,1
2026-04-21 21:17:23.708,1,1.7,1
2026-04-21 21:17:23.813,1,1.7,1
2026-04-21 21:17:23.918,1,1.7,1
2026-04-21 21:17:24.021,2,1.7,1
2026-04-21 21:17:24.123,1,1.7,1
2026-04-21 21:17:24.228,1,1.7,1
2026-04-21 21:17:24.332,1,1.7,1
2026-04-21 21:17:24.437,1,1.7,1
2026-04-21 21:17:24.539,1,1.7,1
2026-04-21 21:17:24.644,1,1.7,1
2026-04-21 21:17:24.749,1,1.7,1
2026-04-21 21:17:24.853,1,1.7,1
2026-04-21 21:17:24.956,1,1.7,1
2026-04-21 21:17:25.061,1,1.7,1
2026-04-21 21:17:25.166,1,1.7,1
2026-04-21 21:17:25.271,1,1.7,1
2026-04-21 21:17:25.375,1,1.7,1
2026-04-21 21:17:25.478,1,1.7,1
2026-04-21 21:17:25.582,1,1.7,1
2026-04-21 21:17:25.686,1,1.7,1
2026-04-21 21:17:25.791,0,1.7,1
2026-04-21 21:17:25.894,0,1.7,1
2026-04-21 21:17:25.999,0,1.7,1
2026-04-21 21:17:26.103,0,1.7,1
2026-04-21 21:17:26.206,0,1.7,1
2026-04-21 21:17:26.311,0,1.7,1
2026-04-21 21:17:26.416,0,1.7,1
2026-04-21 21:17:26.522,0,1.7,1
2026-04-21 21:17:26.626,0,1.7,1
2026-04-21 21:17:26.728,0,1.7,1
